aeroporto,mese,voli_ritardo_basso,ritardo_medio_dep_basso,ritardo_medio_arr_basso,voli_ritardo_medio,ritardo_medio_dep_medio,ritardo_medio_arr_medio,voli_ritardo_alto,ritardo_medio_dep_alto,ritardo_medio_arr_alto,top_3_cause_ritardo_canc
ABE,1,186,-5.96,-15.33,24,33.67,29.67,17,214.71,205.35,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ABE,2,214,-6.28,-19.1,12,30.58,15.25,10,189.5,177.7,DELAY_CARRIER|DELAY_NAS|DELAY_LATE_AIRCRAFT
ABE,3,231,-6.62,-18.05,21,31.9,20.95,16,185.63,169.44,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABE,4,214,-6.95,-17.55,22,33.0,27.55,15,339.4,327.33,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABE,5,231,-6.5,-13.37,16,29.44,24.5,28,211.68,205.25,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABE,6,233,-6.95,-15.94,25,25.12,11.4,28,177.14,176.11,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABE,7,210,-6.33,-11.53,23,33.57,27.87,24,143.08,145.46,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABE,8,202,-6.86,-14.18,32,32.75,30.53,21,143.14,139.57,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABE,9,194,-7.16,-16.4,16,37.81,29.31,10,171.1,165.6,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_WEATHER
ABE,10,198,-6.23,-17.49,22,25.86,11.36,12,222.42,215.67,DELAY_LATE_AIRCRAFT|CANC_WEATHER|DELAY_CARRIER
ABE,11,193,-6.66,-16.68,17,31.0,22.35,10,180.2,166.8,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABE,12,186,-4.35,-12.27,24,32.54,23.96,23,203.35,195.91,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABI,1,89,-6.29,-4.36,10,40.3,38.6,7,126.86,133.57,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_WEATHER
ABI,2,91,-6.3,-6.34,3,37.33,35.67,1,99.0,88.0,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
ABI,3,92,-4.47,-7.67,9,21.44,26.11,8,136.25,134.5,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABI,4,82,-4.41,-9.45,13,32.0,28.85,12,129.67,126.17,DELAY_LATE_AIRCRAFT|DELAY_WEATHER|DELAY_NAS
ABI,5,64,-2.81,-6.94,21,28.81,27.14,18,182.83,187.67,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_WEATHER
ABI,6,75,-4.0,-9.09,9,30.33,28.22,9,119.33,109.67,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABI,7,83,-4.19,-8.88,14,29.93,33.57,5,95.6,90.0,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ABI,8,94,-6.04,-9.14,10,28.5,23.6,2,91.5,89.5,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ABI,9,95,-5.51,-7.86,9,28.78,20.56,7,108.43,98.86,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABI,10,98,-6.06,-12.96,3,32.0,32.0,2,162.0,152.5,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ABI,11,82,-4.94,-9.27,7,33.0,27.86,5,110.0,111.8,DELAY_WEATHER|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
ABI,12,88,-4.31,-6.5,4,31.75,22.25,9,114.0,120.22,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABQ,1,1029,-3.1,-8.26,147,30.78,25.1,77,147.74,144.03,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ABQ,2,982,-2.87,-8.37,114,30.7,28.0,42,139.48,139.38,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ABQ,3,1052,-2.57,-8.61,177,30.19,24.43,81,168.02,168.1,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ABQ,4,1099,-2.48,-8.71,187,31.3,24.7,66,133.68,132.58,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABQ,5,1114,-1.85,-7.28,214,31.87,26.61,105,178.45,177.58,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABQ,6,1164,-2.16,-6.95,205,30.42,25.08,96,153.52,149.52,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABQ,7,1111,-2.24,-7.59,226,32.69,29.24,118,138.28,136.68,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABQ,8,1182,-3.26,-8.24,153,30.64,28.08,99,137.79,134.68,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABQ,9,1260,-3.96,-10.24,158,27.93,21.77,45,121.4,117.22,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABQ,10,1473,-3.09,-7.89,146,28.18,22.77,58,136.59,132.43,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABQ,11,1193,-3.43,-7.44,131,31.14,29.18,43,124.79,124.28,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ABQ,12,1196,-3.34,-9.56,162,30.3,23.8,60,149.22,153.5,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ABR,1,33,-3.67,-14.88,4,29.5,9.75,5,130.8,121.4,DELAY_CARRIER|CANC_WEATHER|DELAY_WEATHER
ABR,2,42,-4.43,-22.26,2,34.5,12.0,2,321.0,304.5,DELAY_WEATHER|DELAY_CARRIER
ABR,3,40,-4.03,-22.65,2,33.0,23.0,2,219.5,203.5,DELAY_CARRIER|DELAY_WEATHER
ABR,4,39,-5.62,-15.9,0,,,2,446.0,424.0,DELAY_CARRIER|DELAY_WEATHER
ABR,5,34,-4.94,-11.26,2,48.0,45.5,3,172.67,160.33,DELAY_CARRIER|DELAY_WEATHER
ABR,6,34,-3.74,0.85,7,37.71,47.43,5,390.8,381.4,DELAY_CARRIER|DELAY_WEATHER|DELAY_NAS
ABR,7,39,-1.95,-10.05,5,32.2,32.0,6,132.67,140.5,DELAY_CARRIER|DELAY_NAS|DELAY_WEATHER
ABR,8,36,-2.22,-8.22,5,22.6,31.8,5,189.8,198.6,DELAY_CARRIER|DELAY_WEATHER|DELAY_NAS
ABR,9,36,-5.0,-16.5,0,,,3,140.33,132.33,DELAY_CARRIER
ABR,10,28,-5.14,-16.5,4,44.0,35.25,4,211.5,200.5,DELAY_CARRIER|DELAY_WEATHER
ABR,11,38,-4.37,-11.92,3,29.0,19.33,3,106.0,90.0,DELAY_CARRIER
ABR,12,31,-4.58,-12.0,6,31.33,25.83,8,384.0,378.0,DELAY_CARRIER|CANC_WEATHER|DELAY_WEATHER
ABY,1,30,-6.13,-11.7,4,27.5,21.0,4,379.25,375.0,DELAY_CARRIER|DELAY_WEATHER
ABY,2,33,-6.0,-8.55,5,26.0,14.0,4,192.25,191.5,DELAY_CARRIER|DELAY_WEATHER
ABY,3,36,-5.64,-9.39,2,43.0,39.0,2,137.5,131.5,DELAY_CARRIER|DELAY_WEATHER
ABY,4,35,-6.23,-1.2,6,37.33,41.17,1,95.0,103.0,DELAY_CARRIER|DELAY_NAS|DELAY_WEATHER
ABY,5,30,-6.63,-3.67,4,41.75,44.5,7,120.71,116.43,DELAY_CARRIER|DELAY_WEATHER|DELAY_NAS
ABY,6,31,-5.23,-6.97,5,45.6,40.0,2,62.0,51.0,DELAY_CARRIER
ABY,7,21,-6.33,2.81,4,24.0,24.5,8,179.38,177.63,DELAY_CARRIER|DELAY_WEATHER|CANC_CARRIER
ABY,8,33,-4.88,-6.97,7,25.29,16.29,7,295.57,291.14,DELAY_CARRIER|CANC_WEATHER|DELAY_WEATHER
ABY,9,31,-6.97,-8.0,4,42.5,35.0,5,101.6,95.8,DELAY_CARRIER|CANC_WEATHER|DELAY_NAS
ABY,10,48,-6.02,-6.58,1,58.0,42.0,1,130.0,117.0,DELAY_CARRIER|DELAY_NAS
ABY,11,46,-7.46,-7.57,3,39.0,36.67,1,167.0,171.0,DELAY_CARRIER|DELAY_WEATHER
ABY,12,45,-7.22,-14.58,4,25.0,21.0,12,163.08,158.83,DELAY_CARRIER|DELAY_WEATHER|DELAY_LATE_AIRCRAFT
ACK,5,67,-10.22,-12.24,7,37.29,34.57,8,156.25,156.13,DELAY_LATE_AIRCRAFT|CANC_WEATHER|CANC_CARRIER
ACK,6,172,-8.75,-13.15,21,36.05,37.24,24,179.38,182.88,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ACK,7,236,-7.61,-11.67,48,33.65,33.6,28,133.64,140.18,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ACK,8,242,-5.93,-6.51,22,35.18,34.64,28,184.71,184.0,DELAY_LATE_AIRCRAFT|DELAY_NAS|CANC_NAS
ACK,9,114,-9.46,-11.39,8,35.63,33.5,5,111.6,111.4,DELAY_NAS|DELAY_LATE_AIRCRAFT|DELAY_CARRIER
ACK,10,43,-9.05,-13.72,2,30.5,30.5,2,185.5,178.5,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ACT,1,42,-6.36,-7.79,11,34.27,32.82,8,308.63,301.0,DELAY_CARRIER|CANC_WEATHER|DELAY_LATE_AIRCRAFT
ACT,2,56,-4.23,-5.45,2,25.0,34.0,2,79.5,66.0,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
ACT,3,59,-2.98,-3.98,4,38.0,35.75,4,75.25,69.75,DELAY_LATE_AIRCRAFT|DELAY_NAS|CANC_WEATHER
ACT,4,47,-3.28,-1.96,6,39.83,35.83,4,142.75,147.5,DELAY_CARRIER|DELAY_NAS|DELAY_LATE_AIRCRAFT
ACT,5,51,-6.1,-5.37,4,34.75,33.5,8,202.88,202.5,DELAY_CARRIER|CANC_WEATHER|DELAY_WEATHER
ACT,6,38,-4.45,-4.63,10,32.0,27.4,12,103.92,102.08,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ACT,7,50,-5.82,-4.94,3,46.67,48.67,6,130.5,134.83,DELAY_CARRIER|DELAY_WEATHER|DELAY_NAS
ACT,8,48,-4.21,-0.65,8,40.13,44.5,4,83.0,87.75,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ACT,9,51,-4.67,-4.98,7,29.43,27.71,2,126.0,110.0,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_WEATHER
ACT,10,43,-6.21,-7.09,8,34.63,34.13,13,124.92,119.54,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ACT,11,50,-5.22,-6.64,7,39.86,36.71,2,89.0,84.0,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|CANC_WEATHER
ACT,12,42,-5.17,-4.98,8,37.25,37.5,10,148.5,153.3,DELAY_CARRIER|CANC_WEATHER|DELAY_WEATHER
ACV,1,77,-5.22,-8.66,12,35.42,29.92,11,187.64,185.36,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ACV,2,73,-6.21,-7.25,15,35.73,40.67,11,322.18,319.36,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ACV,3,66,-5.64,-8.21,21,31.48,30.1,8,237.0,236.13,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
ACV,4,69,-4.3,-7.86,12,34.58,45.92,8,168.38,168.5,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
ACV,5,73,-3.62,-8.0,10,28.7,30.3,10,181.5,189.8,DELAY_NAS|DELAY_LATE_AIRCRAFT|DELAY_CARRIER
ACV,6,69,-3.57,-6.94,5,35.0,41.6,6,146.67,143.33,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ACV,7,79,-4.94,-7.72,5,36.6,42.2,7,351.71,361.71,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ACV,8,72,-3.11,-3.38,11,32.36,36.27,7,190.71,191.86,DELAY_NAS|DELAY_LATE_AIRCRAFT|CANC_WEATHER
ACV,9,86,-5.56,-11.21,7,32.29,27.43,14,312.71,310.0,DELAY_LATE_AIRCRAFT|DELAY_WEATHER|DELAY_CARRIER
ACV,10,117,-5.26,-7.4,6,32.83,25.33,12,273.08,274.75,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ACV,11,98,-5.44,-5.79,11,27.73,25.09,13,110.08,111.23,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ACV,12,99,-5.57,-7.12,6,34.67,30.67,5,176.0,176.0,DELAY_CARRIER|DELAY_NAS|DELAY_LATE_AIRCRAFT
ACY,1,169,-5.44,-4.59,14,31.21,37.57,6,161.5,157.0,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
ACY,2,170,-4.85,-11.62,28,32.89,24.61,10,131.2,124.9,DELAY_NAS|DELAY_LATE_AIRCRAFT|DELAY_CARRIER
ACY,3,160,-4.94,-10.46,46,33.61,31.78,24,164.42,165.42,DELAY_NAS|DELAY_LATE_AIRCRAFT|DELAY_CARRIER
ACY,4,180,-6.81,-16.81,20,33.35,29.75,9,107.44,106.0,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
ACY,5,165,-4.72,-11.21,23,30.78,25.09,8,136.0,136.63,DELAY_NAS|DELAY_LATE_AIRCRAFT|DELAY_CARRIER
ACY,6,127,-4.47,-14.86,19,31.47,22.0,19,134.63,129.53,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
ACY,7,111,-2.96,-13.18,24,35.46,26.92,11,163.73,153.91,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ACY,8,145,-3.68,-8.77,30,32.67,29.37,15,132.13,133.6,DELAY_NAS|DELAY_LATE_AIRCRAFT|DELAY_CARRIER
ACY,9,118,-5.75,-14.62,12,31.5,25.83,3,115.0,116.67,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ACY,10,136,-5.54,-15.43,8,42.13,31.13,4,107.75,97.25,CANC_WEATHER|DELAY_LATE_AIRCRAFT|DELAY_CARRIER
ACY,11,149,-7.91,-21.06,11,35.36,19.55,5,222.2,205.4,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ACY,12,109,-6.32,-15.18,21,31.76,24.14,13,100.77,91.08,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
ADK,1,2,-27.0,-13.5,2,29.5,42.0,0,,,CANC_WEATHER|DELAY_SECURITY
ADK,2,5,-29.0,-31.8,0,,,0,,,N/D
ADK,3,5,-38.0,-36.8,0,,,0,,,N/D
ADK,4,3,-13.33,-13.33,0,,,1,225.0,217.0,DELAY_LATE_AIRCRAFT
ADK,5,4,-35.75,-46.0,1,17.0,15.0,0,,,DELAY_SECURITY
ADK,6,2,-34.0,-24.0,0,,,0,,,CANC_WEATHER
ADK,7,4,-10.75,-17.5,2,37.5,36.5,0,,,DELAY_LATE_AIRCRAFT|DELAY_SECURITY
ADK,8,4,2.75,4.0,1,42.0,24.0,0,,,DELAY_SECURITY
ADK,9,5,-0.8,-7.6,2,31.0,16.5,1,70.0,73.0,DELAY_LATE_AIRCRAFT|DELAY_SECURITY
ADK,10,6,-16.17,-17.5,1,29.0,16.0,0,,,CANC_WEATHER|DELAY_CARRIER
ADK,11,4,-10.25,-0.25,0,,,1,61.0,73.0,CANC_WEATHER|DELAY_LATE_AIRCRAFT
ADK,12,6,-15.17,-10.33,0,,,0,,,DELAY_NAS
ADQ,1,25,-13.36,-15.6,5,23.0,22.4,7,89.0,80.71,DELAY_LATE_AIRCRAFT|DELAY_WEATHER|CANC_CARRIER
ADQ,2,35,-9.54,-12.34,4,28.75,24.5,2,150.0,143.0,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_WEATHER
ADQ,3,28,-11.75,-15.86,4,28.5,24.25,1,116.0,110.0,DELAY_LATE_AIRCRAFT|CANC_CARRIER|DELAY_CARRIER
ADQ,4,30,-11.43,-15.57,7,38.86,32.57,0,,,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|CANC_WEATHER
ADQ,5,49,-9.98,-11.8,2,51.5,48.5,2,62.5,52.5,DELAY_LATE_AIRCRAFT|DELAY_CARRIER
ADQ,6,39,-12.08,-12.26,3,38.67,35.67,0,,,CANC_CARRIER|CANC_WEATHER|DELAY_CARRIER
ADQ,7,45,-8.11,-8.84,4,26.75,20.5,5,167.2,167.8,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|CANC_WEATHER
ADQ,8,55,-7.51,-7.73,6,29.33,27.0,2,77.0,76.5,DELAY_LATE_AIRCRAFT|DELAY_SECURITY|CANC_CARRIER
ADQ,9,58,-12.31,-11.28,2,45.5,50.0,1,87.0,89.0,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_WEATHER
ADQ,10,41,-6.24,-8.39,3,18.67,17.0,2,121.0,122.5,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_SECURITY
ADQ,11,27,-3.37,-0.7,8,23.88,25.5,1,74.0,69.0,DELAY_LATE_AIRCRAFT|DELAY_WEATHER|DELAY_CARRIER
ADQ,12,35,-7.14,-9.43,3,30.0,29.67,1,275.0,292.0,DELAY_LATE_AIRCRAFT|DELAY_NAS|CANC_CARRIER
AEX,1,86,-5.08,-6.84,13,40.23,35.0,10,292.6,310.3,DELAY_CARRIER|CANC_WEATHER|DELAY_LATE_AIRCRAFT
AEX,2,89,-6.34,-9.57,7,34.57,40.86,5,273.0,267.2,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
AEX,3,102,-4.61,-10.47,6,32.0,38.5,7,141.86,131.0,DELAY_WEATHER|DELAY_LATE_AIRCRAFT|CANC_WEATHER
AEX,4,80,-5.95,-9.81,7,37.29,38.71,8,221.63,258.38,DELAY_CARRIER|DELAY_WEATHER|CANC_WEATHER
AEX,5,85,-4.87,-7.71,5,35.8,50.4,19,178.58,174.79,DELAY_CARRIER|DELAY_WEATHER|CANC_WEATHER
AEX,6,96,-5.38,-11.25,9,24.0,14.78,11,221.91,225.91,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
AEX,7,95,-5.14,-10.23,16,29.25,24.56,18,213.67,210.5,DELAY_CARRIER|DELAY_WEATHER|DELAY_LATE_AIRCRAFT
AEX,8,103,-5.6,-13.01,4,35.75,29.25,15,158.0,148.2,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_WEATHER
AEX,9,99,-4.11,-8.7,10,22.8,26.4,14,163.5,160.0,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_WEATHER
AEX,10,91,-6.9,-15.9,9,30.56,23.78,16,176.0,163.19,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_WEATHER
AEX,11,97,-5.64,-10.64,8,30.75,20.38,13,168.15,161.15,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|CANC_WEATHER
AEX,12,101,-4.14,-11.34,9,35.11,37.11,3,351.33,335.33,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
AGS,1,118,-2.0,-6.78,21,31.67,24.9,28,158.39,152.04,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_WEATHER
AGS,2,139,-3.39,-12.49,18,32.67,25.78,16,141.13,132.38,DELAY_CARRIER|DELAY_WEATHER|DELAY_LATE_AIRCRAFT
AGS,3,137,-3.8,-7.56,13,29.08,25.85,13,167.85,161.38,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
AGS,4,269,-3.28,-6.12,55,31.24,27.0,18,91.72,93.89,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
AGS,5,171,-3.84,-7.75,17,35.88,35.94,20,174.3,174.45,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
AGS,6,221,-4.79,-9.23,21,27.43,21.0,15,143.47,139.53,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
AGS,7,193,-3.67,-5.54,27,35.48,27.26,41,161.22,160.0,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
AGS,8,199,-4.61,-9.84,21,33.67,29.19,18,184.56,179.56,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
AGS,9,216,-4.62,-7.26,19,33.32,33.68,28,242.36,241.0,CANC_WEATHER|DELAY_LATE_AIRCRAFT|DELAY_NAS
AGS,10,180,-3.82,-8.68,23,30.39,25.43,30,231.87,232.13,DELAY_WEATHER|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
AGS,11,188,-2.82,-6.52,17,25.24,22.35,10,138.6,135.4,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
AGS,12,150,-1.79,-7.56,25,26.76,19.16,28,207.21,200.61,DELAY_CARRIER|DELAY_NAS|DELAY_LATE_AIRCRAFT
AKN,4,3,-28.67,-27.0,0,,,0,,,N/D
AKN,5,12,-15.92,-15.08,2,25.0,13.0,0,,,CANC_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
AKN,6,28,-12.5,-8.39,0,,,0,,,DELAY_NAS
AKN,7,27,-7.41,-1.22,4,35.25,45.75,2,80.0,81.0,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_SECURITY
AKN,8,24,-10.92,-8.04,3,19.0,25.0,0,,,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
AKN,9,20,-13.75,-10.45,4,36.25,34.0,0,,,DELAY_LATE_AIRCRAFT|DELAY_SECURITY
ALB,1,463,-3.52,-10.11,77,27.92,28.9,47,130.47,135.66,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ALB,2,523,-3.9,-17.59,52,27.31,16.08,25,141.04,134.2,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ALB,3,558,-3.07,-11.49,93,31.61,26.91,55,160.29,165.25,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ALB,4,547,-3.89,-10.85,84,30.24,25.69,45,230.18,228.09,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ALB,5,557,-3.78,-10.34,103,30.54,22.15,50,134.82,132.6,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ALB,6,566,-3.69,-9.73,100,31.85,24.54,59,175.42,171.32,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ALB,7,493,-3.0,-6.98,110,33.13,31.69,98,159.44,161.58,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ALB,8,575,-2.82,-7.89,112,30.27,32.48,71,167.37,169.45,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ALB,9,640,-4.88,-10.32,62,30.47,26.55,24,245.38,242.88,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
ALB,10,641,-4.07,-12.26,89,27.42,15.39,19,140.79,131.37,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
ALB,11,616,-4.54,-14.95,48,26.33,14.92,23,190.61,173.96,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ALB,12,532,-2.71,-7.96,91,30.65,23.23,73,214.44,207.62,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
ALW,1,31,-4.87,7.61,2,42.5,54.5,1,72.0,71.0,CANC_WEATHER|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
ALW,2,43,-6.56,-0.16,0,,,1,74.0,82.0,DELAY_NAS|CANC_WEATHER|DELAY_LATE_AIRCRAFT
ALW,3,47,-7.04,-4.45,0,,,1,63.0,80.0,DELAY_CARRIER|DELAY_WEATHER
ALW,4,39,-6.67,-4.67,0,,,0,,,DELAY_CARRIER
ALW,5,41,-5.24,-5.78,2,16.5,16.0,0,,,DELAY_CARRIER
ALW,6,37,-3.35,-2.92,2,33.5,28.0,3,96.0,104.0,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ALW,7,27,-4.37,-6.22,7,25.57,26.43,0,,,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ALW,8,35,-5.71,-6.09,5,28.4,34.8,2,94.0,102.5,DELAY_LATE_AIRCRAFT|DELAY_NAS
ALW,9,40,-6.0,-0.7,6,37.17,44.0,2,91.0,90.5,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
AMA,1,220,-4.2,-7.24,27,31.93,32.67,20,136.35,131.2,DELAY_LATE_AIRCRAFT|DELAY_NAS|CANC_WEATHER
AMA,2,254,-6.1,-10.98,19,34.84,35.53,5,110.8,91.8,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
AMA,3,253,-5.23,-9.11,22,30.55,30.5,14,144.43,146.79,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
AMA,4,208,-4.41,-8.97,20,34.85,33.65,20,151.15,162.05,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
AMA,5,201,-3.69,-7.92,41,35.39,32.68,37,163.24,167.7,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
AMA,6,235,-3.92,-8.9,38,31.61,28.45,32,180.97,178.66,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
AMA,7,249,-3.88,-8.35,42,33.24,28.52,21,155.48,151.9,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
AMA,8,249,-5.04,-9.32,33,33.73,33.0,19,159.74,154.47,DELAY_CARRIER|DELAY_LATE_AIRCRAFT|DELAY_NAS
AMA,9,265,-4.79,-5.73,24,31.71,34.21,12,133.08,134.92,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
AMA,10,277,-4.79,-9.57,32,34.0,28.88,8,151.88,140.75,DELAY_LATE_AIRCRAFT|DELAY_NAS|DELAY_CARRIER
AMA,11,242,-3.84,-8.57,27,31.67,27.44,16,141.63,139.81,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
AMA,12,244,-4.22,-9.73,25,34.6,25.88,20,166.35,169.8,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ANC,1,518,-3.62,-7.81,116,32.55,25.52,73,127.37,125.84,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|CANC_CARRIER
ANC,2,628,-5.75,-7.76,59,29.95,24.07,30,164.07,160.37,DELAY_NAS|DELAY_CARRIER|DELAY_LATE_AIRCRAFT
ANC,3,732,-5.2,-9.39,109,32.05,26.39,54,139.24,134.69,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ANC,4,770,-6.47,-11.95,103,34.22,26.02,37,120.62,111.92,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
ANC,5,1030,-5.71,-11.67,127,32.43,22.31,38,116.39,103.76,DELAY_LATE_AIRCRAFT|DELAY_CARRIER|DELAY_NAS
